,Image,Galaxy,Constellation,Origin of name,Notes
0,,Alcyoneus,Lynx,,"A low-exitation, Fanaroff and Riley Class II radio galaxy, one of the largest discovered."
1,,Andromeda I,Andromeda,Andromeda I was named because the galaxy is in the constellation Andromeda,"Andromeda I is a dwarf spheroidal galaxy (dSph) about 2.40 million light-years away in the constellation Andromeda. Andromeda I is part of the local group of galaxies and a satellite galaxy of the Andromeda Galaxy (M31). It is roughly 3.5 degrees south and slightly east of M31. As of 2005, it is the closest known dSph companion to M31 at an estimated projected distance of ~40 kpc or ~150,000 light-years."
2,,Andromeda Galaxy,Andromeda,"Andromeda, which is shortened from ""Andromeda Galaxy"", gets its name from the area of the sky in which it appears, the constellation of Andromeda.[citation needed]",Andromeda is the closest big galaxy to the Milky Way and is expected to collide with the Milky Way around 4.5 billion years from now. The two will eventually merge into a single new galaxy called Milkdromeda[citation needed]
3,,Ambartsumian's Knot,Ursa Major,Appearance is similar to Ambartsumian's knot,"NGC 3561, also known as Arp 105, is a pair of interacting galaxies NGC 3561A and NGC 3561B within the galaxy cluster Abell 1185 in Ursa Major. It was discovered by British astronomer John Herschel on 30 March 1827.[6] Its common name is ""the Guitar"" and contains a small tidal dwarf galaxy known as Ambartsumian's Knot that is believed to be the remnant of the extensive tidal tail pulled out of one of the galaxies."
4,,Antennae Galaxies,Corvus,Appearance is similar to an insect's antennae.[citation needed],Two colliding galaxies[citation needed]
5,,Backward Galaxy,Centaurus,"It appears to rotate backwards, as the tips of the spiral arms point in the direction of rotation.[citation needed]",
6,,Barnard's Galaxy,,Named after Edward Emerson Barnard.[citation needed],
7,,Bear Paw Galaxy,Lynx,It resembles the appearance of a bear's claw.[citation needed],"Also known as ""Bear Claw Galaxy.""[citation needed]"
8,,Black Eye Galaxy,Coma Berenices,"It has a spectacular dark band of absorbing dust in front of the galaxy's bright nucleus, giving rise to its nicknames of the ""Black Eye"" or ""Evil Eye"" galaxy.[3]","Also known as ""Sleeping Beauty Galaxy."""
9,,Blinking Galaxy,Serpens,Its difficulty of viewing in a small telescope and tendency to go in and out of view.[citation needed],
10,,Bode's Galaxy,Ursa Major,Named for Johann Elert Bode who discovered this galaxy in 1774.[citation needed],Also known as Messier 81. The largest galaxy in the M81 Group. It harbors a supermassive black hole 70 million times the mass of the Sun.[citation needed]
11,,Butterfly Galaxies,Virgo,Looks are similar to a butterfly.[4],
12,,Cartwheel Galaxy,Sculptor,Its visual appearance is similar to that of a spoked cartwheel.[citation needed],"The largest in the Cartwheel Galaxy group, made up of four spiral galaxies[citation needed]"
13,,Cigar Galaxy,Ursa Major,Appears similar in shape to a cigar.[citation needed],Also known as Messier 82 or M82[citation needed]
14,,Circinus Galaxy,Circinus,Named after the constellation it is located in (Circinus).[citation needed],
15,,Cocoon Galaxy,Canes Venatici,Its resemblance in shape to cocoon[citation needed],
