Star,Constellation,Right ascension,Declination,Apparent magnitude,Distance (ly),Spectral type,Mass (M☉),Temperature (K),Age (Gyr),Confirmed (unconfirmed) planets,Notes
Sun,–,-,-,−26.74,0.000016,G2V,1,5778,4.572,8 (0),
Proxima Centauri,Centaurus,14h 29m 42.94853s,−62° 40′ 46.1631″,10.43 to 11.11[6],4.244,M5.5Ve[7],0.122,3042,4.85,3 (0),Closest star to the Sun and closest star to the Sun with a multiplanetary system. Planet b is potentially habitable.[8][9]
Barnard's Star,Ophiuchus,17h 57m 48.4985s,+04° 41′ 36.1139″,9.511,5.96,M4.0V[10],0.162,3195,10,4 (0),Closest single star to the Sun with a confirmed multiplanetary system.[3]
Lalande 21185,Ursa Major,11h 03m 20.1940s,+35° 58′ 11.5682″,7.520[11],8.3044±0.0007,M2V,0.39,3601±51,8.047,2 (1),Brightest red dwarf star in the northern celestial hemisphere.[12][13]
Lacaille 9352,Piscis Austrinus,23h 05m 52.04s,−35° 51′ 11.05″,7.34,10.721,M0.5V,0.486,3688±86,4.57,2 (1),The unconfirmed planet d is potentially habitable.[14]
Luyten's Star,Canis Minor,07h 27m 24.4991s,05° 13′ 32.827″,9.872,11.20,M3.5V,0.26,3150,unknown,2 (2),Stellar activity level and rotational rate suggest an age higher than 8 billion years.[15] Planet b is potentially habitable.[16]
YZ Ceti,Cetus,01h 12m 30.64s,−16° 59′ 56.3″,12.07,11.74,M4.5V,0.13,3056,4,3 (1),Flare star.[17]
Gliese 1061,Horologium,03h 35m 59.69s,−44° 30′ 45.3″,13.03,12.04,M5.5V,0.113,2953,unknown,3,Planets c and d are potentially habitable.[18]
Teegarden's Star,Aries,02h 53m 00.89s,+16° 52′ 53″,15.13,12.497,M7V,0.097,3034,8,3,Teegarden's Star b and Teegarden's Star c are likely Earth-mass planets that orbit in the habitable zone.[19]
Wolf 1061,Ophiuchus,16h 30m 18.0584s,−12° 39′ 45.325″,10.07,14.050 ± 0.002,M3.5V,0.294,3342,unknown,3,Planet c is potentially habitable.[20][21][22]
Gliese 876,Aquarius,22h 53m 16.73s,−14° 15′ 49.3″,10.17,15.25,M4V,0.334,3348,4.893,4,Planet b is a gas giant which orbits in the habitable zone.[23]
82 G. Eridani,Eridanus,03h 19m 55.65s,−43° 04′ 11.2″,4.254,19.71,G8V,0.7,5401,5.76,3 (3),This star also has a dust disk[24] with a semi-major axis at approximately 19 AU.[25]
Gliese 581,Libra,15h 19m 26.83s,−07° 43′ 20.2″,10.56,20.56,M3V,0.311,3484,4.326,3 (1),The disputed planet d is potentially habitable.[26]
Gliese 667 C,Scorpius,17h 18m 57.16s,−34° 59′ 23.14″,10.20,21,M1.5V,0.31,3700,2,2 (1),"Triple star system - all exoplanets orbit around Star C. Planet c is potentially habitable, and there are more unconfirmed planets.[27][28][29]"
HD 219134,Cassiopeia,23h 13m 14.74s,57° 10′ 03.5″,5.57,21,K3Vvar,0.794,4699,12.66,6,"Closest star to the Sun with exactly six[30] exoplanets, and closest K-type main sequence star to the Sun with a multiplanetary system. One of the oldest stars with a multiplanetary system, although it is still more metal-rich than the Sun. None of the known planets is in the habitable zone.[31]"
61 Virginis,Virgo,13h 18m 24.31s,−18° 18′ 40.3″,4.74,28,G5V,0.954,5531,8.96,2 (1),"Planet d remains unconfirmed,[32] and a 2021 study found that it was likely a false positive.[33] 61 Virginis also has a debris disk."
Gliese 433,Hydra,11h 35m 26.9485s,−25° 10′ 08.9″,9.79,29.8±0.1,M1.5V,0.48,3550±100,unknown,3,An infrared excess around this star suggests a circumstellar disk.[34]
Gliese 357,Hydra,09h 36m 01.6373s,−21° 39′ 38.878″,10.906,30.776,M2.5V,0.362,3488,unknown,3,Planet d is a potentially habitable Super-Earth.[35][36][37][38]
L 98-59,Volans,08h 18m 07.62s,−68° 18′ 46.8″,11.69,34.6,M3V,0.312,3412,unknown,5 (1),The unconfirmed planet g orbits in closer than b.[39]
Gliese 414 A,Ursa Major,11h 11m 05.88s,30° 26′ 42.61″,8.31,38.76,K7V,0.65,4120,12.4,2 (0),[40][41]
Gliese 806,Cygnus,20h 45m 04.099s,+44° 29′ 56.6″,10.79,39.3,M1.5V,0.423,3586,3,2 (1),-
