id,name,type_id,constellation_id,mass (kg),radius (km),temperature_low (K),temperature_high (K)
1,Sun ,7,72,1.9891E+30,695700,5772,15000000
2,Mercury,1,72,3.3011E+23,2439.7,90,700
3,Venus,1,72,4.8675E+24,6051.8,100,310
4,Earth,1,72,5.9722E+24,6371,184,310
5,Moon,6,72,7.3476E+22,1737.4,100,400
6,Mars,1,72,6.4141E+23,3389.5,120,300
7,Phobos,6,72,1.06E+16,11.08,161,263
8,Deimos,6,72,1.51E+15,6.27,140,295
9,Jupiter,2,72,1.898E+27,69911,165,1200
10,Io,5,72,8.931E+22,1821,90,2000
11,Callisto,5,72,1.0759E+23,2410,80,165
12,Ganymede,5,72,1.4819E+23,2634,70,156
13,Europa,5,72,4.799E+22,1560.8,50,140
14,Saturn ,2,72,5.6834E+26,58232,82,151
15,Titan,5,72,1.345E+23,2574.73,93.6,94
16,Enceladus,5,72,1.08E+20,252.1,32.9,145
17,Mimas,5,72,3.75094E+19,198.2,77,92
18,Dione,5,72,1.095E+21,561.4,55,70
19,Iapetus,5,72,1.805E+21,734.4,70,130
20,Tethys,5,72,6.174E+20,531.1,86,86
21,Uranus,3,72,8.681E+25,25362,49,57
22,Titania ,5,72,3.455E+21,788.4,70,70
23,Umbriel,5,72,1.2885E+21,584.7,75,90
24,Miranda,5,72,6.293E+19,235.8,59,85
25,Ariel ,5,72,1.2331E+21,578.9,60,85
26,Oberon,5,72,3.1104E+21,761.4,58,80
27,Sycorax,6,72,2.5E+18,157,65,65
28,Neptune,3,72,1.02409E+26,24622,55,72
29,Triton,5,72,2.1389E+22,1353.4,36,95
30,Hippocamp,5,72,1.029E+15,17,,
31,Nereid,6,72,3.57E+19,357,50,50
32,Galatea,5,72,1.94E+18,88,51,51
33,Halimede,6,72,2E+17,31,,
34,Pluto,4,72,1.3025E+22,1188.3,30,60
35,Thalassa,5,72,3.54E+17,41,110,110
36,Despina,5,72,7.1E+17,75,51,51
37,Neso,6,72,2E+17,30,150,170
38,Naiad,5,72,1.2E+17,33,51,51
39,Psamathe,6,72,2E+16,20,,
40,Laomedeia,6,72,4.4E+16,42,,
41,Proteus,5,72,1.55E+19,209,47.4,47.4
42,Larissa,5,72,1.9E+17,97,,
43,Sao,6,72,,44,,
44,S/2002 N5,6,72,,24,,
45,S/2021 N1,6,72,8E+15,16,,
46,Phoebe,6,72,8.3123E+18,106.5,75,107
47,Hyperion,6,72,5.551E+18,135,58,127
48,Halley's Comet,12,72,5.551E+18,11,300,35
49,Sirius A,7,14,3.978E+30,1190000,9940,9940
50,Sirius B ,9,14,2.025E+30,5900,25000,25000
51,Proxima Centauri,11,19,2.428E+29,107277,3042,3042
52,Barnard's Star,11,59,2.864E+29,140000,3195,3195
53,Lalande 21185,11,83,9.149E+29,273530,3601,3601
54,Lacaille 9352,11,67,9.53E+29,331000,3688,3688
55,Luyten's Star,11,15,5.79E+29,243500,3150,3150
56,YZ Ceti,11,21,2.58E+29,117000,3056,3056
57,Gliese 1061,11,41,1.19E+29,108240,2953,2953
58,Teegarden's Star,11,7,1.59E+29,74440,3034,3034
59,Wolf 1061,11,59,5.3E+29,213580,3342,3342
60,Gliese 876,11,4,6.4E+29,441000,3348,3348
61,82 G. Eridani,7,36,1.989E+30,626000,5401,5401
62,Gliese 581,11,49,1.73E+29,208010,3484,3484
63,Gliese 667 C,11,73,6.5E+29,9811.3,3700,3700
64,HD 219134,7,18,1.51E+30,556560,4699,4699
65,61 Virginis,7,86,1.85E+30,686450,5531,5531
66,Gliese 433,11,42,9.57E+30,449000,3550,3550
67,Gliese 357,11,42,1.989E+30,234285,3488,3488
68,L 98-59,11,87,2.68E+24,219000,3412,3412
69,Gliese 414 A,21,83,1.29E+30,2510,4120,4120
70,Gliese 806,11,31,8.4E+29,288177,3586,3586
71,TRAPPIST-1,11,4,9.7E+28,84180,2550,2550
72,55 Cancri,7,12,4.77E+25,691320,5217,5217
73,Gliese 180,11,36,7.956E+29,479000,3562,3562
74,HD 69830,7,68,1.75E+30,632000,5385,5385
75,HD 40307,7,65,1.492E+30,499000,4977,4977
76,Upsilon Andromedae,7,1,2.53E+30,1029000,6107,6107
77,47 Ursae Majoris,7,83,2.148E+30,815360,5892,5892
78,Nu2 Lupi,7,50,1.65E+30,720000,5664,5664
79,LHS 1140,11,21,3.66E+29,149000,3216,3216
80,Gliese 163,11,33,1.32E+30,240000,,
81,Mu Arae,22,6,2.15E+30,946150,5704,5704
82,GJ 3929,11,27,6.14E+29,222000,3384,3384
83,Gliese 676 A,11,6,1.25E+30,480000,,
84,HD 7924,7,18,2.58E+30,514000,5177,5177
85,Pi Mensae,7,53,2.17E+30,950000,6013,6013
86,Gliese 3293,11,36,8.35E+29,277480,3466,3466
87,LHS 1678,11,10,6.47E+29,228000,3490,3490
88,HD 104067,7,28,1.57E+30,540000,4942,4942
89,HD 142,22,64,1.07E+30,984000,6180,6180
90,HD 215152,7,4,1.49E+30,508000,5646,5646
91,HD 164922,7,40,1.93E+30,694000,5293,5293
92,HD 63433,7,38,1.99E+30,637343,5640,5640
93,HIP 57274,7,86,1.45E+30,471342,4640,4640
94,HD 39194,7,53,1.33E+30,486000,5205,5205
95,LP 791-18,11,29,2.76E+29,120,2960,2960
96,HD 181433,22,61,1.67E+30,560000,4962,4962
97,HD 134606,7,3,2.077E+30,885000,,
98,HD 158259,7,34,1.96E+30,838600,,
99,HD 82943,7,42,2.35E+30,767000,5874,5874
100,Gliese 3138,11,21,2.3E+25,5700,3717,3717
101,GJ 9827,7,66,1.21E+30,452000,4294,4294
102,K2-239,11,77,7.96E+29,250000,3420,3420
103,TOI-700,11,33,8.27E+29,3459,3480,3480
104,HD 17926,7,37,1.27E+30,877000,6201,6201
